Using device=cuda dtype=torch.bfloat16
MPS status: built=False available=False
Registered 2000 JSON stroke files for split [train] from sedrah_pipeline/calliar_dataset/json/train
Registered 250 JSON stroke files for split [validation] from sedrah_pipeline/calliar_dataset/json/validation
Loading tokenizer/processor from Qwen/Qwen2-VL-2B-Instruct
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading model from Qwen/Qwen2-VL-2B-Instruct
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 37617.08it/s]
Loading weights:   0%|          | 0/729 [00:00<?, ?it/s]Loading weights: 100%|██████████| 729/729 [00:00<00:00, 8211.21it/s]
trainable params: 4,358,144 || all params: 2,213,343,744 || trainable%: 0.1969
[transformers] `use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
epoch=1/10 step=780/2000 loss=0.7443 samples_per_sec=2.94
epoch=1/10 step=790/2000 loss=0.7359 samples_per_sec=2.86
epoch=1/10 step=800/2000 loss=0.6361 samples_per_sec=2.74
epoch=1/10 step=810/2000 loss=0.7277 samples_per_sec=2.89
epoch=1/10 step=820/2000 loss=0.1577 samples_per_sec=2.65
epoch=1/10 step=830/2000 loss=0.7438 samples_per_sec=2.80
epoch=1/10 step=840/2000 loss=0.7786 samples_per_sec=2.91
epoch=1/10 step=850/2000 loss=0.7172 samples_per_sec=2.69
epoch=1/10 step=860/2000 loss=0.7505 samples_per_sec=2.62
epoch=1/10 step=870/2000 loss=0.7801 samples_per_sec=3.02
epoch=1/10 step=880/2000 loss=0.8268 samples_per_sec=2.80
epoch=1/10 step=890/2000 loss=0.6949 samples_per_sec=2.83
epoch=1/10 step=900/2000 loss=0.7201 samples_per_sec=2.86
epoch=1/10 step=910/2000 loss=0.7449 samples_per_sec=3.03
epoch=1/10 step=920/2000 loss=0.6632 samples_per_sec=2.84
epoch=1/10 step=930/2000 loss=0.6569 samples_per_sec=2.87
epoch=1/10 step=940/2000 loss=0.7251 samples_per_sec=2.75
epoch=1/10 step=950/2000 loss=0.7319 samples_per_sec=3.02
epoch=1/10 step=960/2000 loss=0.7372 samples_per_sec=3.05
epoch=1/10 step=970/2000 loss=0.7525 samples_per_sec=2.79
epoch=1/10 step=980/2000 loss=0.7487 samples_per_sec=2.65
epoch=1/10 step=990/2000 loss=0.6849 samples_per_sec=2.81
epoch=1/10 step=1000/2000 loss=0.7537 samples_per_sec=2.71
epoch=1/10 step=1010/2000 loss=0.7443 samples_per_sec=2.81
epoch=1/10 step=1020/2000 loss=0.7088 samples_per_sec=2.83
epoch=1/10 step=1030/2000 loss=0.7291 samples_per_sec=3.16
epoch=1/10 step=1040/2000 loss=0.7535 samples_per_sec=2.83
epoch=1/10 step=1050/2000 loss=0.7586 samples_per_sec=2.67
epoch=1/10 step=1060/2000 loss=0.6644 samples_per_sec=2.71
epoch=1/10 step=1070/2000 loss=0.7519 samples_per_sec=2.84
epoch=1/10 step=1080/2000 loss=0.7423 samples_per_sec=2.80
epoch=1/10 step=1090/2000 loss=0.7456 samples_per_sec=2.72
epoch=1/10 step=1100/2000 loss=0.6370 samples_per_sec=2.79
epoch=1/10 step=1110/2000 loss=0.6073 samples_per_sec=2.86
epoch=1/10 step=1120/2000 loss=0.6778 samples_per_sec=2.95
epoch=1/10 step=1130/2000 loss=0.7109 samples_per_sec=3.00
epoch=1/10 step=1140/2000 loss=0.6905 samples_per_sec=2.64
epoch=1/10 step=1150/2000 loss=0.6595 samples_per_sec=2.91
epoch=1/10 step=1160/2000 loss=0.7594 samples_per_sec=3.00
epoch=1/10 step=1170/2000 loss=0.7504 samples_per_sec=2.93
epoch=1/10 step=1180/2000 loss=0.6792 samples_per_sec=2.70
epoch=1/10 step=1190/2000 loss=0.7527 samples_per_sec=2.93
epoch=1/10 step=1200/2000 loss=0.7314 samples_per_sec=2.76
epoch=1/10 step=1210/2000 loss=0.7439 samples_per_sec=3.03
epoch=1/10 step=1220/2000 loss=0.6798 samples_per_sec=2.79
epoch=1/10 step=1230/2000 loss=0.8141 samples_per_sec=3.01
epoch=1/10 step=1240/2000 loss=0.7905 samples_per_sec=3.05
epoch=1/10 step=1250/2000 loss=0.7487 samples_per_sec=2.75
epoch=1/10 step=1260/2000 loss=0.6909 samples_per_sec=2.86
epoch=1/10 step=1270/2000 loss=0.7602 samples_per_sec=2.96
epoch=1/10 step=1280/2000 loss=0.7289 samples_per_sec=2.79
epoch=1/10 step=1290/2000 loss=0.8348 samples_per_sec=3.04
epoch=1/10 step=1300/2000 loss=0.7372 samples_per_sec=2.99
epoch=1/10 step=1310/2000 loss=0.7085 samples_per_sec=2.70
epoch=1/10 step=1320/2000 loss=0.7722 samples_per_sec=2.90
epoch=1/10 step=1330/2000 loss=0.7474 samples_per_sec=2.99
epoch=1/10 step=1340/2000 loss=0.7805 samples_per_sec=2.87
epoch=1/10 step=1350/2000 loss=0.7836 samples_per_sec=2.86
epoch=1/10 step=1360/2000 loss=0.7259 samples_per_sec=3.16
epoch=1/10 step=1370/2000 loss=0.7809 samples_per_sec=2.96
epoch=1/10 step=1380/2000 loss=0.6540 samples_per_sec=2.84
epoch=1/10 step=1390/2000 loss=0.7121 samples_per_sec=2.90
epoch=1/10 step=1400/2000 loss=0.7368 samples_per_sec=2.67
